a-b-firmware-image-update | A/B Firmware Image Update | aka: dual-bank firmware update, A/B partitions, seamless update, golden image / rollback (variants) | embedded-systems
spsc-lock-free-ring-buffer | SPSC Lock-Free Ring Buffer | aka: single-producer single-consumer queue, Lamport queue, wait-free bounded buffer | data-flow-buffering
stack | Stack | aka: LIFO, pushdown list | data-structures
stack-canary | Stack Canary | aka: stack cookie, stack-smashing protector, StackGuard canary, stack protector, canary value, StackGuard | robustness-security
stack-first | Stack First | aka: prefer automatic storage | resource-management
stack-painting-watermarking | Stack Painting / Watermarking | aka: stack high-water mark, stack fill pattern, stack usage watermarking | error-handling
state | State | aka: Objects for States | oo-patterns
state-transition-table | State Transition Table | aka: State Table Pattern, table-driven state machine | state-management
stateless-software-module | Stateless Software-Module | aka: stateless module, pure-function module | code-structure
static-allocation | Static Allocation | aka: compile-time allocation, no-heap allocation, Fixed Allocation, pre-allocation, Eternal Memory, whole-lifetime allocation | resource-management
static-factory-method | Static Factory Method | aka: named constructor (C++ analog), valueOf/of/from conventions | construction-api
static-priority-scheduling | Static Priority Scheduling | aka: fixed-priority preemptive scheduling, rate-monotonic priority assignment, Rate-Monotonic Scheduling, RMS, rate-monotonic analysis, RMA | scheduling-time
steady-state | Steady State | aka: resource recycling, log rotation discipline | resource-management
stencil | Stencil | aka: stencil computation, structured-grid pattern, neighborhood computation, ghost cells (supporting mechanism) | execution-concurrency
strategized-locking | Strategized Locking | aka:  | synchronization-coordination
strategy | Strategy | aka: Policy | oo-patterns
stream-buffer | Stream Buffer | aka: message buffer (framed variant), FreeRTOS stream buffer, byte stream buffer, xStreamBuffer/xMessageBuffer | data-flow-buffering
stream-trigger | Trigger (Stream Processing) | aka: triggers, watermark trigger, processing-time trigger, repeated/composite triggers, early/on-time/late firings (panes), accumulation mode (discarding/accumulating/retracting, companion policy) | data-flow-buffering
stream-windowing | Stream Windowing | aka: tumbling window, fixed window, sliding window, hopping window, session window, window operator | data-flow-buffering
structured-concurrency | Structured Concurrency | aka: nursery pattern, task scope, scoped concurrency, concurrency scopes, nursery (Trio), task scope / StructuredTaskScope (Java), coroutine scope (Kotlin), scoped task spawning | execution-concurrency
subclass-sandbox | Subclass Sandbox | aka:  | oo-patterns
suffix-array | Suffix Array | aka: suffix tree (heavier predecessor, folded), FM-index (compressed successor, noted) | data-structures
super-loop | Super Loop | aka: superloop, main loop, big loop, foreground/background system, while(1) scheduler | embedded-systems
supervisor | Supervisor | aka: supervision tree, supervisor hierarchy | error-handling
symbol-table | Symbol Table | aka: scope table, environment (interpreter environments) | parsing-text
sync-word | Sync Word | aka: syncword, preamble, start-of-frame delimiter, sync character, training sequence | serialization-framing
synchronizer-token | Synchronizer Token Pattern | aka: anti-CSRF token, CSRF token, double-submit cookie (stateless variant) | robustness-security
system-tick | System Tick | aka: tick interrupt, RTOS tick, SysTick, kernel tick, tick counter, tick time base, jiffies (Linux) | scheduling-time
t-digest | t-digest | aka: quantile sketch (role), GK sketch / KLL sketch (alternatives, noted) | data-structures
table-data-gateway | Table Data Gateway | aka:  | persistence-durability
tag-dispatching | Tag Dispatching | aka: tag dispatch, Int2Type/Type2Type (Alexandrescu forms), iterator-category dispatch | functional-type-idioms
tagged-union | Tagged Union | aka: sum type, discriminated union, variant, disjoint union | data-representation
tagless-final | Tagless Final | aka: finally tagless, final encoding, object algebra (OO cousin) | functional-type-idioms
taint-checking | Taint Checking | aka: taint mode, taint tracking, taint propagation, dynamic taint analysis | robustness-security
template-engine | Template Engine | aka: template processor, text templating, templating engine, Template View (P of EAA web specialization), string template, template expansion, macro/template substitution | parsing-text
template-method | Template Method | aka:  | oo-patterns
temporal-property | Temporal Property | aka: temporal object (whole-object variant), historic mapping, effectivity (validity-interval variant), snapshot view (derived), bitemporal record (two-dimensional variant) | data-representation
test-and-test-and-set-lock | Test-and-Test-and-Set Lock | aka: TTAS lock, spin-on-read spinlock, TTAS with exponential backoff | synchronization-coordination
test-data-builder | Test Data Builder | aka:  | testing-constructs
test-double | Test Double | aka: mock object, test stub, fake object, test spy, dummy object | testing-constructs
test-fixture | Test Fixture | aka: Fresh Fixture, Shared Fixture, fixture setup | testing-constructs
texture-atlas | Texture Atlas | aka: sprite sheet, sprite atlas, texture packing, atlasing, sub-texture packing | data-representation
thread-confinement | Thread Confinement | aka: stack confinement, serial thread confinement | synchronization-coordination
thread-pool | Thread Pool | aka: worker pool, pooled threads | execution-concurrency
thread-safe-interface | Thread-Safe Interface | aka:  | synchronization-coordination
thread-specific-storage | Thread-Specific Storage | aka: Thread-Local Storage, TLS, per-thread data, Per-CPU Data Sharding, data ownership, per-CPU variables, counter sharding | execution-concurrency
threaded-code | Threaded Code | aka: direct threading, indirect threading, computed-goto dispatch | execution-concurrency
throttle | Throttle | aka: throttling, function rate limiting, rate limiting (of handlers) | scheduling-time
thunk | Thunk | aka: suspension, delayed evaluation, lazy evaluation, delay/force | functional-type-idioms
ticket-lock | Ticket Lock | aka: ticket spinlock, bakery-style spinlock | synchronization-coordination
tickless-idle | Tickless Idle | aka: tickless kernel, dynamic tick suppression | scheduling-time
time-to-live-ttl | Time to Live (TTL) | aka: expiry, expiration timestamp, hop limit | scheduling-time
time-triggered-co-operative-scheduler | Time-Triggered Co-operative Scheduler | aka: TTC scheduler, cooperative scheduler, tick-driven task scheduler, time-triggered hybrid scheduler (TTH variant) | scheduling-time
timeout | Timeout | aka: timed wait, deadline on blocking call | error-handling
timer-wheel | Timer Wheel | aka: timing wheel, hashed timing wheel, hierarchical timing wheel | scheduling-time
timestamp-ordering-concurrency-control | Timestamp-Ordering Concurrency Control | aka: T/O, timestamp ordering, basic timestamp ordering | synchronization-coordination
token-bucket | Token Bucket | aka: token bucket filter, committed rate limiting, committed access rate | scheduling-time
tolerant-reader | Tolerant Reader | aka:  | serialization-framing
tombstone | Tombstone | aka: deletion marker, delete marker, timestamped deletion record | persistence-durability
traits-class | Traits Class | aka: traits, type traits, traits template | functional-type-idioms
trampoline | Trampoline | aka: trampolined style, bounce loop | execution-concurrency
transition-to-history | Transition to History | aka: history state, deep history, shallow history | state-management
tree-walking-interpreter | Tree-Walking Interpreter | aka: AST interpreter, tree-walk interpreter | parsing-text
trie | Trie | aka: prefix tree, digital tree, radix tree (path-compressed variant), Patricia trie (binary path-compressed variant) | data-structures
twin | Twin | aka:  | oo-patterns
two-level-segregated-fit-allocator-tlsf | Two-Level Segregated Fit Allocator (TLSF) | aka: TLSF | resource-management
two-phase-locking | Two-Phase Locking | aka: 2PL, strict two-phase locking, S2PL | synchronization-coordination
two-phase-termination | Two-Phase Termination | aka: cooperative shutdown, graceful thread termination | execution-concurrency
type-erasure | Type Erasure | aka: duck-typed value wrapper, std::function/std::any technique, erased value wrapper | functional-type-idioms
type-length-value-encoding | Type-Length-Value Encoding | aka: TLV, tag-length-value, KLV (key-length-value), identifier-length-contents (ASN.1 BER) | serialization-framing
type-object | Type Object | aka: power type | oo-patterns
type-safe-enum | Type-Safe Enum | aka: enum pattern, typesafe enum pattern, enum class precursor | data-representation
typelist | Typelist | aka: type list, compile-time type sequence | functional-type-idioms
typesafe-register-access-via-c-templates | Typesafe Register Access via C++ Templates | aka: template register abstraction, register abstraction DSL, compile-time register access | embedded-systems
typestate | Typestate | aka: typestate programming, phantom-type state encoding, compile-time state machine API, session-typed API, state-encoding types | functional-type-idioms
ultimate-hook | Ultimate Hook | aka:  | state-management
undo-redo-command-stack | Undo/Redo Command Stack | aka: command history, undo stack, undo history | state-management
uniform-spatial-hash-grid | Uniform Spatial Hash Grid | aka: spatial hashing, uniform grid, bin-lattice | data-structures
unit-of-work | Unit of Work | aka:  | persistence-durability
units-of-measure-types | Units-of-Measure Types | aka: units of measure (F#), dimension types, dimensional analysis in the type system, static unit checking | functional-type-idioms
update-batching | Update Batching | aka: automatic batching, async update queue, microtask-deferred flush | data-flow-buffering
update-method | Update Method | aka: update function, tick method | scheduling-time
value-object | Value Object | aka:  | data-representation
value-semantics | Value Semantics | aka: regular types | functional-type-idioms
variable-allocation | Variable Allocation | aka: dynamic allocation | resource-management
varint | Varint | aka: variable-length integer, LEB128, variable-length quantity (VLQ), base-128 encoding | serialization-framing
vectorized-execution | Vectorized Execution | aka: batch-at-a-time execution, vectorized query processing, vector-at-a-time model | data-flow-buffering
view-handler | View Handler | aka:  | oo-patterns
virtual-dom | Virtual DOM | aka: VDOM, virtual DOM diffing, reconciliation | data-representation
visitor | Visitor | aka:  | oo-patterns
volcano-iterator-model | Volcano Iterator Model | aka: iterator model, open-next-close model, pull-based query execution, tuple-at-a-time execution | data-flow-buffering
watchdog | Watchdog | aka: watchdog timer, WDT, COP timer, computer operating properly timer, windowed watchdog (variant), software watchdog / task supervision (variant), watchdog kicking/petting, windowed watchdog, dead man's switch | robustness-security
weak-reference | Weak Reference | aka: weak pointer, weak_ptr, WeakReference | resource-management
whole-part | Whole-Part | aka: Composite Aggregate, Part-Whole Hierarchy | oo-patterns
wire-tap | Wire Tap | aka:  | communication
work-stealing | Work Stealing | aka: work-stealing scheduler, stealing deques | scheduling-time
wrapper-facade | Wrapper Facade | aka:  | construction-api
write-ahead-log | Write-Ahead Log | aka: WAL, write-ahead logging, redo log, commit log, journaling, undo/redo logging | persistence-durability
write-behind-cache | Write-Behind Cache | aka: write-back cache, deferred write, write-behind caching | caching-memoization
write-through-cache | Write-Through Cache | aka: write-through caching | caching-memoization
x-macro | X-Macro | aka: data/table-driven macro lists | code-structure
zero-copy-i-o | Zero-Copy I/O | aka: zero-copy, sendfile, splice | data-flow-buffering
zigzag-encoding | ZigZag Encoding | aka: zig-zag integer encoding | serialization-framing
zipper | Zipper | aka: Huet zipper, focused data structure, one-hole context | data-structures
zone-map | Zone Map | aka: small materialized aggregates, SMA, min-max index, block range index, BRIN, data skipping index, storage index | data-structures
